Release_Date,Title,Production company,Cast and crew,Genre
21-Dec-07,National Treasure: Book of Secrets,Walt Disney Pictures / Jerry Bruckheimer Films,"Jon Turteltaub (director); Cormac Wibberley, Marianne Wibberley (screenplay); Nicolas Cage, Jon Voight, Harvey Keitel, Ed Harris, Diane Kruger, Justin Bartha, Bruce Greenwood, Helen Mirren, Armando Riesco, Alicia Coppola, Albert Hall, Ty Burrell, Randy Travis, Joel Gretsch, Billy Unger, Christian Camargo, Zachary Gordon, Guillaume Gallienne, Scali Delpeyrat",Adventure
21-Dec-07,P.S. I Love You,Warner Bros. Pictures / Alcon Entertainment,"Richard LaGravenese (director/screenplay); Steven Rogers (screenplay); Hilary Swank, Gerard Butler, Lisa Kudrow, Gina Gershon, Jeffrey Dean Morgan, Kathy Bates, Harry Connick Jr., James Marsters, Nellie McKay, Dean Winters, Anne Kent, Brian McGrath, Sherie Rene Scott, Susan Blackwell, Michael Countryman",Romance
21-Dec-07,Sweeney Todd: The Demon Barber of Fleet Street,Paramount Pictures / DreamWorks Pictures / Warner Bros. Pictures,"Tim Burton (director); John Logan (screenplay); Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall, Sacha Baron Cohen, Jayne Wisener, Jamie Campbell Bower, Laura Michelle Kelly, Ed Sanders, Anthony Stewart Head","Musical, Period, Slasher"
21-Dec-07,Walk Hard: The Dewey Cox Story,Columbia Pictures / Relativity Media,"Jake Kasdan (director/screenplay); Judd Apatow (screenplay); John C. Reilly, Jenna Fischer, Tim Meadows, Kristen Wiig, Raymond J. Barry, Margo Martindale, Chris Parnell, Matt Besser, Chip Hormess, Jonah Hill, David ""Honeyboy"" Edwards, David Krumholtz, Craig Robinson, Harold Ramis, Simon Helberg, Philip Rosenthal, Martin Starr, John Michael Higgins, Ed Helms, Jane Lynch, Tim Bagley, Angela Little Mackenzie, Skyler Gisondo, Molly C. Quinn, Lurie Poston, Jack McBrayer, Nat Faxon, Rance Howard, Odette Yustman, Frankie Muniz, John Ennis, Jack White, Adam Herschman, Patrick J. Adams, Paul Feig, Angela Correa, The Temptations, Eddie Vedder, Jackson Browne, Jewel, Ghostface Killah, Lyle Lovett, Gerry Bednob, Cheryl Tiegs, Paul Rudd, Jack Black, Justin Long, Jason Schwartzman, Patrick Duffy, Morgan Fairchild, Cheryl Ladd",Comedy
25-Dec-07,Aliens vs. Predator: Requiem,20th Century Fox,"The Brothers Strause (director); Shane Salerno (screenplay); Steven Pasquale, Reiko Aylesworth, Johnny Lewis, John Ortiz, Sam Trammell, Ariel Gade, Robert Joy, Kristen Hager, David Paetkau, Matt Ward, Michal Suchanek, David Hornsby, Gina Holden, Chris William Martin, Chelah Horsdal, Liam James, Tom McBeath, Ty Olsson, Rainbow Sun Francks, Françoise Yip, Kurt Max Runte, James Chutter, Tim Henry, Juan Riedinger, Dalias Blake, Curtis Caravaggio, Tom Woodruff Jr., Ian Whyte","Sci-Fi, Action"
25-Dec-07,The Bucket List ‡,Warner Bros. Pictures,"Rob Reiner (director); Justin Zackham (screenplay); Jack Nicholson, Morgan Freeman, Sean Hayes, Rob Morrow, Beverly Todd, Alfonso Freeman, Rowena King, Jennifer DeFrancisco, Serena Reeder, Annton Berry Jr., Verda Bridges, Destiny Brownridge, Brian Copeland, Ian Anthony Dale, Noel Guglielmi, Jonathan Hernandez, Andrea J. Johnson, Jordan Lund, Jonathan Mangum, Christopher Stapleton, Taylor Ann Thompson, Karen Maruyama, Alex Trebek","Comedy, Drama"
25-Dec-07,The Great Debaters,The Weinstein Company,"Denzel Washington (director); Robert Eisele (screenplay); Denzel Washington, Forest Whitaker, Nate Parker, Jurnee Smollett, Denzel Whitaker, Jermaine Williams, Gina Ravera, John Heard, Kimberly Elise, Devyn A. Tyler, Trenton McClain Boyd, Jackson Walker, Tim Parati, Justice Leak, Robert X. Golphin, Damien Leake, Frank L. Ridley","Biography, Drama"
25-Dec-07,St Trinian's,Ealing Studios,"Oliver Parker, Barnaby Thompson (directors); Piers Ashworth, Nick Moorcroft (screenplay); Rupert Everett, Colin Firth, Gemma Arterton, Talulah Riley, Lily Cole, Juno Temple, Russell Brand, Tamsin Egerton, Stephen Fry, Celia Imrie, Zöe Salmon, Lena Headey, Mischa Barton, Nicola Roberts, Sarah Harding, Nadine Coyle, Kimberley Walsh, Cheryl Cole (Girls Aloud)",Comedy
25-Dec-07,The Water Horse: Legend of the Deep,Columbia Pictures / Revolution Studios / Walden Media / Beacon Pictures,"Jay Russell (director); Robert Nelson Jacobs (screenplay); Alexander Nathan Etel, Emily Watson, Ben Chaplin, David Morrissey, Brian Cox, Priyanka Xi, Marshall Napier, Joel Tobeck, Erroll Shand, Craig Hall, Geraldine Brophy","Family, Fantasy"
26-Dec-07,There Will Be Blood ‡,Paramount Vantage,"Paul Thomas Anderson (director/screenplay); Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds, Dillon Freasier, Paul F. Tompkins, Jim Downey, David Warshofsky, Barry Del Sherman, Russell Harvard, Sydney McCallister, Colleen Foy, David Willis, Hans Howes","Epic, Period, Drama"
28-Dec-07,The Orphanage,Picturehouse,"J. A. Bayona (director); Sergio G. Sánchez (screenplay); Belén Rueda, Fernando Cayo, Roger Princep, Mabel Rivera, Montserrat Carulla, Andrés Gertrúdix, Edgar Vivar, Geraldine Chaplin, Óscar Casas",Horror
6-Jan-06,BloodRayne,Boll KG Productions,"Uwe Boll (director); Guinevere Turner (screenplay); Kristanna Loken, Ben Kingsley, Michael Madsen, Matthew Davis, Michelle Rodriguez, Will Sanderson, Billy Zane, Udo Kier, Michael Paré, Meat Loaf","Fantasy, Action, Horror"
6-Jan-06,Grandma's Boy,20th Century Fox / Level 1 Entertainment / Happy Madison Productions,"Nicholaus Goossen (director); Allen Covert, Nick Swardson, Barry Wernick (screenplay); Allen Covert, Doris Roberts, Nick Swardson, Linda Cardellini, Shirley Jones, Shirley Knight, Peter Dante, Joel David Moore, Jonah Hill, Kevin Nealon",Comedy
6-Jan-06,Hostel,Screen Gems / Lions Gate Films,"Eli Roth (director/screenplay); Jay Hernandez, Derek Richardson, Eyþór Guðjónsson, Barbara Nedeljáková, Rick Hoffman, Jennifer Lim",Horror
13-Jan-06,Glory Road,Walt Disney Pictures / Jerry Bruckheimer Films,"James Gartner (director); Gregory Allen Howard, Chris Cleveland, Bettina Gilois (screenplay); Josh Lucas, Derek Luke, Jon Voight, Austin Nichols, Evan Jones, Alphonso McAuley, Tatyana Ali","Sports, Drama"
13-Jan-06,Hoodwinked!,The Weinstein Company / Kanbar Entertainment,"Cory Edwards, Todd Edwards, Tony Leech (directors/screenplay); Anne Hathaway, Glenn Close, James Belushi, Patrick Warburton, Anthony Anderson, David Ogden Stiers, Xzibit, Chazz Palminteri, Andy Dick","Comedy, Crime, Family"
13-Jan-06,Last Holiday,Paramount Pictures / ImageMovers / Sullivan Bluth Studios,"Wayne Wang (director); Jeffrey Price and Peter S. Seaman (screenplay); Queen Latifah, LL Cool J, Timothy Hutton, Gérard Depardieu, Alicia Witt, Giancarlo Esposito, Susan Kellermann, Michael Nouri","Comedy, Drama"
13-Jan-06,Tristan and Isolde,20th Century Fox / Franchise Pictures / Scott Free Productions,"Kevin Reynolds (director); Dean Georgaris (screenplay); James Franco, Sophia Myles, Rufus Sewell, Mark Strong, Henry Cavill, David O'Hara","Epic, Drama, Drama"
20-Jan-06,End of the Spear,Rocky Mountain Pictures,"Jim Hanon (director/screenplay); Bill Ewing, Bart Gavigan (screenplay); Louie Leonardo, Chad Allen, Jack Guzman, Christina Souza, Sean McGowan, Beth Bailey","Drama, Christian"
20-Jan-06,Underworld: Evolution,Screen Gems / Lakeshore Entertainment,"Len Wiseman (director); Danny McBride (screenplay); Kate Beckinsale, Scott Speedman, Tony Curran, Shane Brolly, Steven Mackintosh, Derek Jacobi, Bill Nighy, Sophia Myles, Michael Sheen","Action, Horror"
24-Jan-06,Wristcutters: A Love Story,Autonomous Films,"Goran Dukić (director/screenplay); Patrick Fugit, Shannyn Sossamon, Shea Whigham, Leslie Bibb, Tom Waits, Mark Boone Junior, Will Arnett","Black Comedy, Romance, Road"
27-Jan-06,Annapolis,Touchstone Pictures,"Justin Lin (director); Dave Collard (screenplay); James Franco, Tyrese Gibson, Jordana Brewster, Roger Fan, Donnie Wahlberg, Vicellous Reon Shannon, Chi McBride, Brian Goodman, Charles Napier",Drama
27-Jan-06,Big Momma's House 2,20th Century Fox / Regency Enterprises,"John Whitesell (director); Don Rhymer (screenplay); Martin Lawrence, Nia Long, Zachary Levi, Mark Moses, Emily Procter, Kat Dennings, Chloë Grace Moretz","Comedy, Crime"
27-Jan-06,Nanny McPhee,Universal Pictures / StudioCanal / Metro-Goldwyn-Mayer / Working Title Films,"Kirk Jones (director); Emma Thompson (screenplay); Emma Thompson, Colin Firth, Kelly Macdonald, Thomas Brodie-Sangster, Angela Lansbury, Eliza Bennett, Raphaël Coleman, Imelda Staunton","Fantasy, Comedy, Family"
3-Feb-06,Something New,Focus Features,"Sanaa Hamri (director); Kriss Turner (screenplay); Sanaa Lathan, Simon Baker, Blair Underwood, Donald Faison, Alfre Woodard, Earl Billings, Wendy Raquel Robinson, Mike Epps","Romance, Drama"
3-Feb-06,When a Stranger Calls,Screen Gems / Davis Entertainment,"Simon West (director); Jake Wade Wall (screenplay); Camilla Belle, Brian Geraghty, Katie Cassidy, Clark Gregg, Tommy Flanagan, Tessa Thompson, Derek de Lint, Kate Jennings Grant, David Denman",Horror
10-Feb-06,Curious George,Universal Pictures / Imagine Entertainment,"Matthew O'Callaghan (director); Ken Kaufman (screenplay); Will Ferrell, Drew Barrymore, David Cross, Eugene Levy, Joan Plowright, Dick Van Dyke, Frank Welker","Adventure, Comedy, Family"
10-Feb-06,Final Destination 3,New Line Cinema / Hard Eight Pictures / Zide/Perry Productions,"James Wong (director/screenplay); Glen Morgan (screenplay); Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Alexz Johnson, Amanda Crew, Jesse Moss, Gina Holden, Texas Battle","Supernatural, Horror"
10-Feb-06,Firewall,Warner Bros. Pictures / Village Roadshow Pictures / Beacon Pictures / Thunder Road Films,"Richard Loncraine (director); Joe Forte (screenplay); Harrison Ford, Paul Bettany, Virginia Madsen, Mary Lynn Rajskub, Jimmy Bennett, Carly Schroeder, Robert Forster, Robert Patrick, Nikolaj Coster-Waldau, Alan Arkin","Crime, Thriller"
10-Feb-06,The Pink Panther,Columbia Pictures / Metro-Goldwyn-Mayer,"Shawn Levy (director); Steve Martin, Len Blum (screenplay); Steve Martin, Kevin Kline, Jean Reno, Emily Mortimer, Henry Czerny, Kristin Chenoweth, Roger Rees, Beyoncé Knowles","Comedy, Family"
17-Feb-06,Date Movie,20th Century Fox / Regency Enterprises,"Jason Friedberg and Aaron Seltzer (directors/screenplay); Alyson Hannigan, Adam Campbell, Jennifer Coolidge, Tony Cox, Fred Willard, Eddie Griffin, Carmen Electra, Judah Friedlander","Comedy, Romance, Spoof"
17-Feb-06,Eight Below,Walt Disney Pictures / Spyglass Entertainment / Mandeville Films,"Frank Marshall (director); David DiGillio (screenplay); Paul Walker, Bruce Greenwood, Moon Bloodgood, Jason Biggs, August Schellenberg, Wendy Crewson, Belinda Metz","Adventure, Drama, Family"
17-Feb-06,Freedomland,Columbia Pictures / Revolution Studios,"Joe Roth (director); Richard Price (screenplay); Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard, William Forsythe, Aunjanue Ellis, Anthony Mackie, LaTanya Richardson, Clarke Peters","Drama, Mystery, Thriller"
24-Feb-06,Madea's Family Reunion,Lionsgate / The Tyler Perry Company,"Tyler Perry (director/screenplay); Tyler Perry, Blair Underwood, Keke Palmer, Lynn Whitfield, Lisa Arrindell Anderson, Jenifer Lewis, Rochelle Aytes, Boris Kodjoe","Comedy, Drama"
24-Feb-06,Running Scared,New Line Cinema / Media 8 Entertainment,"Wayne Kramer (director/screenplay); Paul Walker, Cameron Bright, Vera Farmiga, Chazz Palminteri, Karel Roden, Johnny Messner, Ivana Miličević, Michael Cudlitz, John Noble","Crime, Thriller"
3-Mar-06,16 Blocks,Warner Bros. Pictures / Alcon Entertainment / Millennium Films / The Donners' Company,"Richard Donner (director); Richard Wenk (screenplay); Bruce Willis, Mos Def, David Morse, Jenna Stern, Casey Sander, Cylk Cozart, David Zayas","Crime, Thriller"
3-Mar-06,Aquamarine,Fox 2000 Pictures,"Sara Paxton, Emma Roberts, JoJo, Jake McDorman, Arielle Kebbel, Claudia Karvan, Bruce Spence, Tammin Sursok","Comedy, Fantasy"
3-Mar-06,Dave Chappelle's Block Party,Rogue Pictures / Bob Yari Productions,"Michel Gondry (director); Dave Chappelle (screenplay); Dave Chappelle, Kanye West, Mos Def, Common, John Legend",Documentary
3-Mar-06,Ultraviolet,Screen Gems,"Kurt Wimmer (director/screenplay); Milla Jovovich, Cameron Bright, Nick Chinlund, William Fichtner","Sci-Fi, Action, Thriller"
10-Mar-06,Failure to Launch,Paramount Pictures / Sullivan Bluth Studios,"Tom Dey (director); Tom J. Astle, Matt Ember (screenplay); Matthew McConaughey, Sarah Jessica Parker, Zooey Deschanel, Justin Bartha, Bradley Cooper, Terry Bradshaw, Kathy Bates","Romance, Comedy"
10-Mar-06,The Hills Have Eyes,Fox Searchlight Pictures,"Alexandre Aja (director/screenplay); Grégory Levasseur (screenplay); Aaron Stanford, Kathleen Quinlan, Vinessa Shaw, Emilie de Ravin, Dan Byrd, Robert Joy, Ted Levine",Horror
10-Mar-06,The Shaggy Dog,Walt Disney Pictures / Mandeville Films,"Brian Robbins (director); Cormac Wibberley, Marianne Wibberley, Geoff Rodkey, Jack Amiel, Michael Begler (screenplay); Tim Allen, Robert Downey Jr., Kristin Davis, Danny Glover, Spencer Breslin, Jane Curtin, Zena Grey, Philip Baker Hall","Comedy, Children"
17-Mar-06,She's the Man,DreamWorks Pictures / Lakeshore Entertainment / The Donners' Company,"Andy Fickman (director); Karen McCullah Lutz, Kirsten Smith (screenplay); Amanda Bynes, Channing Tatum, Laura Ramsey, David Cross, Vinnie Jones, Alexandra Breckenridge, Robert Hoffman, Jonathan Sadowski, Emily Perkins","Sports, Comedy"
17-Mar-06,Thank You for Smoking,Fox Searchlight Pictures,"Jason Reitman (director/screenplay); Aaron Eckhart, Maria Bello, Cameron Bright, Adam Brody, Sam Elliott, Katie Holmes, David Koechner, Rob Lowe, William H. Macy, J. K. Simmons, Robert Duvall","Comedy, Drama"
17-Mar-06,V for Vendetta,Warner Bros. Pictures / Virtual Studios / Silver Pictures,"James McTeigue (director); The Wachowskis (screenplay); Natalie Portman, Hugo Weaving, Stephen Rea, John Hurt, Stephen Fry, Tim Pigott-Smith and Rupert Graves",Political thriller
24-Mar-06,Inside Man,Universal Pictures / Imagine Entertainment / 40 Acres and a Mule Filmworks,"Spike Lee (director); Russell Gewirtz (screenplay); Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer, Willem Dafoe, Chiwetel Ejiofor","Crime, Thriller"
24-Mar-06,Larry the Cable Guy: Health Inspector,Lionsgate,"Trent Cooper (director); James Greer, Jonathan Bernstein (screenplay); Larry the Cable Guy, Iris Bahr, Bruce Bruce, Joanna Cassidy, Brooke Dillman, Tony Hale, David Koechner, Lisa Lampanelli, Megyn Price, Thomas F. Wilson, Joe Pantoliano",Comedy
24-Mar-06,The Secret,Prime Time Productions / Dharma Production,Drew Heriot (director),Documentary
24-Mar-06,Stay Alive,Hollywood Pictures / Spyglass Entertainment / Endgame Entertainment,"William Brent Bell (director/screenplay); Matthew Peterman (screenplay); Jon Foster, Samaire Armstrong, Frankie Muniz, Jimmi Simpson, Milo Ventimiglia, Sophia Bush, Adam Goldberg, Wendell Pierce",Slasher
24-Mar-06,Unidentified,Five & Two Pictures / Cornerstone Television,"Rich Christiano (director/screenplay); Jonathan Aube, Josh Adamson, Michael Blain-Rozgay, Rebecca St. James, Jenna Bailey, Lance Zitron","Sci-fi, Christian"
31-Mar-06,ATL,Warner Bros. Pictures / Overbrook Entertainment,"Chris Robinson (director); Tina Gordon Chism (screenplay); Tip ""T.I."" Harris, Lauren London, Evan Ross, Jackie Long, Jason Weaver, Big Boi, Lonette McKee, Mykelti Williamson, Keith David",Drama
31-Mar-06,Basic Instinct 2,Sony Pictures Releasing / Metro-Goldwyn-Mayer / Constantin Film / C2 Pictures,"Michael Caton-Jones (director); Henry Bean, Leora Barish (screenplay); Sharon Stone, David Morrissey, Charlotte Rampling, David Thewlis, Flora Montgomery, Heathcote Williams, Hugh Dancy",Erotic thriller
31-Mar-06,Ice Age: The Meltdown,20th Century Fox Animation / Blue Sky Studios,"Carlos Saldanha (director); Peter Gaulke, Gerry Swallow, Jim Hecht (screenplay); Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Seann William Scott, Josh Peck, Will Arnett, Jay Leno, Alan Tudyk, Chris Wedge","Comedy, Adventure, Family"
31-Mar-06,Slither,Universal Pictures / Gold Circle Films,"James Gunn (director/screenplay); Nathan Fillion, Elizabeth Banks, Gregg Henry, Michael Rooker, Tania Saulnier, Jenna Fischer, Haig Sutherland, Matreya Fedor","Sci-Fi, Horror, Comedy"
7-Apr-06,The Benchwarmers,Columbia Pictures / Revolution Studios / Happy Madison Productions,"Dennis Dugan (director); Allen Covert, Nick Swardson (writers); Rob Schneider, David Spade, Jon Heder, Jon Lovitz, Nick Swardson, Craig Kilborn, Molly Sims, Tim Meadows","Comedy, Sports"
7-Apr-06,Friends with Money,Sony Pictures Classics,"Nicole Holofcener (director/screenplay); Jennifer Aniston, Joan Cusack, Catherine Keener, Frances McDormand, Jason Isaacs, Scott Caan, Simon McBurney, Greg Germann","Comedy, Drama"
7-Apr-06,Lucky Number Slevin,Metro-Goldwyn-Mayer / The Weinstein Company / Ascendant Pictures / FilmEngine,"Paul McGuigan (director); Jason Smilovic (screenplay); Josh Hartnett, Lucy Liu, Ben Kingsley, Bruce Willis, Morgan Freeman, Stanley Tucci, Peter Outerbridge, Kevin Chamberlin","Crime, Thriller"
7-Apr-06,Phat Girlz,Fox Searchlight Pictures,"Nnegest Likké (director/screenplay); Mo'Nique, Jimmy Jean-Louis, Godfrey, Kendra C. Johnson, Dayo Ade, Jack Noseworthy, Eric Roberts",Comedy
7-Apr-06,Take the Lead,New Line Cinema,"Liz Friedlander (director); Dianne Houston (screenplay); Antonio Banderas, Alfre Woodard, John Ortiz, Rob Brown, Yaya DaCosta, Dante Basco, Elijah Kelley, Jenna Dewan","Drama, Dance"
14-Apr-06,Scary Movie 4,The Weinstein Company / Dimension Films / Miramax Films,"David Zucker (director); Jim Abrahams, Craig Mazin, Pat Proft (screenplay); Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Molly Shannon, Charlie Sheen, Leslie Nielsen, Shaquille O'Neal","Comedy, Horror, Spoof"
14-Apr-06,The Wild,Walt Disney Pictures,"Steve Williams (director); Ed Decter, John J. Strauss, Mark Gibson, Philip Halprin (screenplay); Kiefer Sutherland, Jim Belushi, Eddie Izzard, Janeane Garofalo, William Shatner, Richard Kind, Greg Cipes, Colin Cunningham, Patrick Warburton","Comedy, Adventure, Family"
21-Apr-06,American Dreamz,Universal Pictures,"Paul Weitz (director/screenplay); Hugh Grant, Dennis Quaid, Marcia Gay Harden, Willem Dafoe, Mandy Moore, Sam Golzari, Chris Klein, Jennifer Coolidge, Seth Meyers, Tony Yalda, Noureen DeWulf, Shohreh Aghdashloo",Comedy
21-Apr-06,The Sentinel,20th Century Fox / Regency Enterprises,"Clark Johnson (director); George Nolfi (screenplay); Michael Douglas, Kiefer Sutherland, Eva Longoria, Martin Donovan, Kim Basinger","Action, Crime, Thriller"
28-Apr-06,Akeelah and the Bee,Lionsgate / 2929 Entertainment / Starbucks Entertainment,"Doug Atchison (director/screenplay); Keke Palmer, Laurence Fishburne, Angela Bassett, Curtis Armstrong, J. R. Villarreal, Sean Michael Afable, Erica Hubbard, Lee Thompson Young",Drama
28-Apr-06,RV,Columbia Pictures / Relativity Media / Red Wagon Productions,"Barry Sonnenfeld (director); Geoff Rodkey (screenplay); Robin Williams, Cheryl Hines, Josh Hutcherson, Joanna ""JoJo"" Levesque, Jeff Daniels, Kristin Chenoweth, Hunter Parrish, Alex Ferris, Will Arnett","Comedy, Road, Family"
28-Apr-06,Stick It,Touchstone Pictures / Spyglass Entertainment,"Jessica Bendinger (director/screenplay); Missy Peregrym, Jeff Bridges, Vanessa Lengies, Maddy Curley, Nikki SooHoo, Kellan Lutz, John Patrick Amedori, Tarah Paige, Jon Gries, Gia Carides","Comedy, Drama, Sports"
28-Apr-06,United 93,Universal Pictures / Working Title Films,"Paul Greengrass (director/screenplay); Christian Clemenson, Cheyenne Jackson, David Alan Basche, Peter Hermann, Corey Johnson, Richard Bekins, Michael J. Reynolds, Khalid Abdalla, David Rasche, Rebecca Schull, Denny Dillon","Biography, Drama, Thriller"
5-May-06,An American Haunting,Freestyle Releasing / After Dark Films / Remstar,"Courtney Solomon (director/screenplay); Donald Sutherland, Sissy Spacek, James D'Arcy, Rachel Hurd-Wood, Matthew Marsh, Miquel Brown",Horror
5-May-06,Art School Confidential,Sony Pictures Classics / United Artists,"Terry Zwigoff (director); Daniel Clowes (screenplay); Max Minghella, Sophia Myles, John Malkovich, Anjelica Huston, Jim Broadbent, Matt Keeslar, Ethan Suplee, Joel David Moore","Comedy, Drama"
5-May-06,Hoot,New Line Cinema / Walden Media,"Wil Shriner (director/screenplay); Logan Lerman, Brie Larson, Luke Wilson, Cody Linley, Tim Blake Nelson, Neil Flynn, Robert Wagner, Kiersten Warren, Clark Gregg, Jimmy Buffett","Comedy, Family"
5-May-06,Mission: Impossible III,Paramount Pictures / Cruise/Wagner Productions / Sullivan Bluth Studios,"J. J. Abrams (director/screenplay); Alex Kurtzman, Roberto Orci (screenplay); Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup, Michelle Monaghan, Jonathan Rhys Meyers, Keri Russell, Maggie Q, Laurence Fishburne and Simon Pegg","Action, Spy"
12-May-06,Just My Luck,20th Century Fox / Regency Enterprises / Cheyenne Enterprises / Silvercup Studios,"Donald Petrie (director); I. Marlene King, Amy B. Harris, James Greer, Jonathan Bernstein (screenplay); Lindsay Lohan, Chris Pine, Faizon Love, Missi Pyle, Samaire Armstrong, Bree Turner, Makenzie Vega, Carlos Ponce, McFly","Romance, Comedy"
12-May-06,Poseidon,Warner Bros. Pictures / Virtual Studios,"Wolfgang Petersen (director); Mark Protosevich (screenplay); Kurt Russell, Josh Lucas, Richard Dreyfuss, Jacinda Barrett, Emmy Rossum, Mike Vogel, Mia Maestro, Jimmy Bennett, Andre Braugher, Kevin Dillon, Stacy Ferguson",Disaster
19-May-06,The Da Vinci Code,Columbia Pictures / Imagine Entertainment / Skylark Productions,"Ron Howard (director); Akiva Goldsman (screenplay); Tom Hanks, Audrey Tautou, Ian McKellen, Alfred Molina, Jürgen Prochnow, Jean Reno, Paul Bettany","Mystery, Thriller"
19-May-06,Over the Hedge,Paramount Pictures / DreamWorks Animation,"Tim Johnson, Karey Kirkpatrick (director); Len Blum, Lorne Cameron, David Hoselton, Karey Kirkpatrick (screenplay); Bruce Willis, Garry Shandling, Steve Carell, Wanda Sykes, Eugene Levy, Catherine O'Hara, William Shatner, Avril Lavigne, Nick Nolte, Thomas Haden Church, Allison Janney","Comedy, Family"
19-May-06,See No Evil,Lionsgate / WWE Studios,"Gregory Dark (director); Dan Madigan (screenplay); Kane, Samantha Noble, Christina Vidal, Michael J. Pagan, Rachael Taylor, Penny McNamee, Craig Horner",Slasher
26-May-06,X-Men: The Last Stand,20th Century Fox / Marvel Entertainment / Dune Entertainment / The Donners' Company,"Brett Ratner (director); Simon Kinberg, Zak Penn (screenplay); Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart, Famke Janssen, Kelsey Grammer, Anna Paquin, James Marsden, Rebecca Romijn, Shawn Ashmore, Vinnie Jones, Ellen Page, Aaron Stanford, Shohreh Aghdashloo, Ben Foster","Action, Superhero"
2-Jun-06,The Break-Up,Universal Pictures,"Peyton Reed (director); Jeremy Garelick, Jay Lavender (screenplay); Vince Vaughn, Jennifer Aniston, Joey Lauren Adams, Ann-Margret, Judy Davis, Vincent D'Onofrio, Jon Favreau, Cole Hauser, Keir O'Donnell, John Michael Higgins, Justin Long","Romance, Comedy, Drama"
6-Jun-06,The Omen,20th Century Fox,"John Moore (director); David Seltzer (screenplay); Julia Stiles, Liev Schreiber, Mia Farrow, David Thewlis, Pete Postlethwaite, Michael Gambon, Seamus Davey-Fitzpatrick","Supernatural, Horror"
9-Jun-06,Cars,Walt Disney Pictures / Pixar Animation Studios,"John Lasseter (director/screenplay); Dan Fogelman, Joe Ranft, Jorgen Klubien, Kiel Murray, Phil Lorin (screenplay); Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy, Tony Shalhoub, Cheech Marin, Jenifer Lewis, George Carlin, Paul Dooley, Michael Keaton, John Ratzenberger, Jeremy Piven, Jay Leno, Tom and Ray Magliozzi, Mario Andretti, Richard Kind, Edie McClurg, Michael Schumacher, Dale Earnhardt Jr., Tom Hanks, Tim Allen, Billy Crystal, John Goodman, Dave Foley, Joe Ranft, Bob Costas, Darrell Waltrip, Jeremy Piven, Lynda Petty","Comedy, Family"
9-Jun-06,A Prairie Home Companion,Picturehouse / New Line Cinema,"Robert Altman (director); Garrison Keillor (screenplay); Woody Harrelson, Tommy Lee Jones, Garrison Keillor, Kevin Kline, Lindsay Lohan, Virginia Madsen, John C. Reilly, Maya Rudolph, Meryl Streep, Lily Tomlin",Comedy
16-Jun-06,The Fast and the Furious: Tokyo Drift,Universal Pictures / Relativity Media,"Justin Lin (director); Chris Morgan (screenplay); Lucas Black, Nathalie Kelley, Sung Kang, Bow Wow, Brian Tee, Leonardo Nam, Brian Goodman, Zachery Ty Bryan",Action
16-Jun-06,Garfield: A Tail of Two Kitties,20th Century Fox / Davis Entertainment,"Tim Hill (director); Joel Cohen, Alec Sokolow (screenplay); Bill Murray, Breckin Meyer, Jennifer Love Hewitt, Tim Curry, Billy Connolly, Ian Abercrombie, Bob Hoskins, Rhys Ifans, Vinnie Jones, Jim Piddock","Comedy, Family"
16-Jun-06,The Lake House,Warner Bros. Pictures / Village Roadshow Pictures / Vertigo DC Comics,"Alejandro Agresti (director); David Auburn (screenplay); Keanu Reeves, Sandra Bullock, Dylan Walsh, Shohreh Aghdashloo, Christopher Plummer, Ebon Moss-Bachrach, Willeke van Ammelrooy, Lynn Collins","Romance, Comedy"
16-Jun-06,Nacho Libre,Paramount Pictures / Nickelodeon Movies / Amblimation,"Jared Hess (director/screenplay); Jerusha Hess, Mike White(screenplay); Jack Black, Ana de la Reguera, Hector Jimenez, Peter Stormare, Carla Jimenez, Richard Montoya, Moisés Arias","Sports, Comedy, Family"
23-Jun-06,Click,Columbia Pictures / Revolution Studios / Happy Madison Productions,"Frank Coraci (director); Steve Koren, Mark O'Keefe (screenplay); Adam Sandler, Kate Beckinsale, Christopher Walken, Henry Winkler, David Hasselhoff, Julie Kavner, Sean Astin","Comedy, Fantasy"
23-Jun-06,Waist Deep,Rogue Pictures / Intrepid Pictures,"Tyrese Gibson, Meagan Good, Larenz Tate, Kimora Lee Simmons, The Game","Action, Drama"
28-Jun-06,Superman Returns,Warner Bros. Pictures / Legendary Pictures / DC Comics / Peters Entertainment,"Bryan Singer (director); Michael Dougherty, Dan Harris (screenplay); Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden, Parker Posey, Frank Langella, Eva Marie Saint, Kal Penn, Sam Huntington, Tristan Lake Leabu",Superhero
